"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"386","C3",7,1,2020-09-17,4,14.2857142857143,0,0
"387","C3",7,4,2020-09-17,4,57.1428571428571,0,0
"388","C3",7,2,2020-09-17,4,28.5714285714286,0,0
"389","C3",7,4,2020-09-17,4,57.1428571428571,0,0
"390","C3",4,0,2020-09-17,4,0,3,0.428571428571429
"391","MycoMillet15",6,2,2020-09-17,4,28.5714285714286,1,0.142857142857143
"392","MycoMillet15",7,1,2020-09-17,4,14.2857142857143,0,0
"393","MycoMillet15",7,2,2020-09-17,4,28.5714285714286,0,0
"394","MycoMillet15",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"395","MycoMillet15",7,2,2020-09-17,4,28.5714285714286,0,0
"396","MycoMillet15",6,4,2020-09-17,4,57.1428571428571,1,0.142857142857143
"397","MycoMillet15",3,0,2020-09-17,4,0,4,0.571428571428571
"398","MycoMillet15",5,0,2020-09-17,4,0,2,0.285714285714286
"399","MycoMillet15",5,2,2020-09-17,4,28.5714285714286,2,0.285714285714286
"400","MycoMillet15",7,3,2020-09-17,4,42.8571428571429,0,0
"401","MycoMillet15",7,0,2020-09-17,4,0,0,0
"402","MycoMillet15",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"403","MycoMillet15",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"404","MycoMillet15",5,0,2020-09-17,4,0,2,0.285714285714286
"405","MycoMillet15",5,0,2020-09-17,4,0,2,0.285714285714286
"406","MycoMillet25",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"407","MycoMillet25",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"408","MycoMillet25",1,0,2020-09-17,4,0,6,0.857142857142857
